When are you open?,"We are open from 12pm, 7 days a week."
What time do you open?,We open at 12pm.
When are you closed?,We close at 11pm.
What time do you close?,We close at 11pm.
Do you have vegetarian options?,We have vegetarian and vegan options.
Do you have gluten free options?,We have gluten free options.
Where can I see your menu?,To see the menu check our website: www.restaurant.com
Is there parking nearby?,We have our own customer parking spaces.
What's your phone numer?,You can call us at +44010101010101.
What's your website?,Our website is www.restaurant.com.
